Epoch,Training_Error
1,3.05063461
2,2.05082165
3,1.62410070
4,1.29073747
5,0.73122423
6,0.62070270
7,0.56262701
8,0.51462653
9,0.47284513
10,0.43564114
11,0.40222349
12,0.37222701
13,0.34540252
14,0.32145465
15,0.30002934
16,0.28077484
17,0.26338548
18,0.24760967
19,0.23324171
20,0.22011189
21,0.20807845
22,0.19702150
23,0.18683841
24,0.17744043
25,0.16875007
26,0.16069925
27,0.15322795
28,0.14628310
29,0.13981771
30,0.13379011
31,0.12816330
32,0.12290431
33,0.11798369
34,0.11337497
35,0.10905423
36,0.10499974
37,0.10119165
38,0.09761170
39,0.09424309
40,0.09107029
41,0.08807894
42,0.08525578
43,0.08258855
44,0.08006595
45,0.07767755
46,0.07541379
47,0.07326584
48,0.07122561
49,0.06928566
50,0.06743918
51,0.06567989
52,0.06400204
53,0.06240034
54,0.06086991
55,0.05940629
56,0.05800534
57,0.05666325
58,0.05537651
59,0.05414188
60,0.05295633
61,0.05181709
62,0.05072157
63,0.04966737
64,0.04865226
65,0.04767415
66,0.04673111
67,0.04582134
68,0.04494314
69,0.04409494
70,0.04327525
71,0.04248271
72,0.04171600
73,0.04097391
74,0.04025529
75,0.03955908
76,0.03888425
77,0.03822985
78,0.03759499
79,0.03697881
80,0.03638051
81,0.03579934
82,0.03523458
83,0.03468555
84,0.03415162
85,0.03363217
86,0.03312664
87,0.03263447
88,0.03215515
89,0.03168819
90,0.03123313
91,0.03078951
92,0.03035692
93,0.02993496
94,0.02952325
95,0.02912142
96,0.02872913
97,0.02834605
98,0.02797187
99,0.02760628
100,0.02724901
101,0.02689979
102,0.02655835
103,0.02622444
104,0.02589784
105,0.02557831
106,0.02526564
107,0.02495962
108,0.02466006
109,0.02436676
110,0.02407955
111,0.02379825
112,0.02352269
113,0.02325272
114,0.02298818
115,0.02272892
116,0.02247481
117,0.02222570
118,0.02198146
119,0.02174196
120,0.02150709
121,0.02127673
122,0.02105075
123,0.02082905
124,0.02061153
125,0.02039807
126,0.02018858
127,0.01998296
128,0.01978112
129,0.01958296
130,0.01938840
131,0.01919734
132,0.01900971
133,0.01882542
134,0.01864440
135,0.01846656
136,0.01829183
137,0.01812015
138,0.01795142
139,0.01778560
140,0.01762261
141,0.01746238
142,0.01730485
143,0.01714996
144,0.01699765
145,0.01684786
146,0.01670054
147,0.01655562
148,0.01641305
149,0.01627278
150,0.01613476
151,0.01599894
152,0.01586526
153,0.01573369
154,0.01560417
155,0.01547667
156,0.01535112
157,0.01522751
158,0.01510577
159,0.01498588
160,0.01486778
161,0.01475145
162,0.01463685
163,0.01452394
164,0.01441267
165,0.01430303
166,0.01419498
167,0.01408847
168,0.01398349
169,0.01388000
170,0.01377796
171,0.01367735
172,0.01357815
173,0.01348032
174,0.01338383
175,0.01328866
176,0.01319478
177,0.01310216
178,0.01301079
179,0.01292064
180,0.01283168
181,0.01274389
182,0.01265725
183,0.01257174
184,0.01248733
185,0.01240400
186,0.01232174
187,0.01224052
188,0.01216033
189,0.01208115
190,0.01200295
191,0.01192572
192,0.01184944
193,0.01177410
194,0.01169967
195,0.01162614
196,0.01155350
197,0.01148173
198,0.01141082
199,0.01134074
200,0.01127149
201,0.01120305
202,0.01113540
203,0.01106854
204,0.01100245
205,0.01093711
206,0.01087252
207,0.01080866
208,0.01074552
209,0.01068308
210,0.01062134
211,0.01056029
212,0.01049990
213,0.01044018
214,0.01038111
215,0.01032268
216,0.01026488
217,0.01020770
218,0.01015113
219,0.01009517
220,0.01003979
221,0.00998500
222,0.00993078
223,0.00987712
224,0.00982402
225,0.00977147
226,0.00971945
227,0.00966797
228,0.00961701
229,0.00956656
230,0.00951662
231,0.00946718
232,0.00941824
233,0.00936977
234,0.00932179
235,0.00927427
236,0.00922722
237,0.00918063
238,0.00913449
239,0.00908879
240,0.00904353
241,0.00899871
242,0.00895430
243,0.00891032
244,0.00886675
245,0.00882359
246,0.00878084
247,0.00873848
248,0.00869651
249,0.00865492
250,0.00861372
251,0.00857289
252,0.00853244
253,0.00849235
254,0.00845262
255,0.00841324
256,0.00837422
257,0.00833555
258,0.00829721
259,0.00825922
260,0.00822155
261,0.00818422
262,0.00814721
263,0.00811052
264,0.00807415
265,0.00803809
266,0.00800233
267,0.00796689
268,0.00793174
269,0.00789689
270,0.00786233
271,0.00782806
272,0.00779408
273,0.00776038
274,0.00772696
275,0.00769382
276,0.00766095
277,0.00762834
278,0.00759600
279,0.00756393
280,0.00753211
281,0.00750055
282,0.00746924
283,0.00743818
284,0.00740737
285,0.00737681
286,0.00734648
287,0.00731640
288,0.00728655
289,0.00725693
290,0.00722754
291,0.00719838
292,0.00716945
293,0.00714074
294,0.00711225
295,0.00708397
296,0.00705591
297,0.00702807
298,0.00700043
299,0.00697300
300,0.00694578
301,0.00691876
302,0.00689194
303,0.00686532
304,0.00683890
305,0.00681267
306,0.00678664
307,0.00676079
308,0.00673514
309,0.00670967
310,0.00668438
311,0.00665928
312,0.00663435
313,0.00660961
314,0.00658504
315,0.00656064
316,0.00653642
317,0.00651237
318,0.00648849
319,0.00646478
320,0.00644123
321,0.00641785
322,0.00639463
323,0.00637157
324,0.00634867
325,0.00632592
326,0.00630334
327,0.00628090
328,0.00625862
329,0.00623649
330,0.00621451
331,0.00619268
332,0.00617099
333,0.00614945
334,0.00612806
335,0.00610680
336,0.00608569
337,0.00606472
338,0.00604388
339,0.00602319
340,0.00600262
341,0.00598220
342,0.00596190
343,0.00594174
344,0.00592170
345,0.00590180
346,0.00588202
347,0.00586237
348,0.00584285
349,0.00582345
350,0.00580418
